"Player","Team","POS","RUSHATT","RUSHYDS","RUSHTDS","REC","RECYDS","RECTDS","FL","FPTS"
"Travis Etienne Jr.","JAC","RB8","250.2","1,023.1","8.4","45.8","355.7","1.4","1.3","239.7"
"Rachaad White","TB","RB9","241.5","934.1","6.6","54.3","410.1","2.4","1.7","239.2"
"Mike Evans","TB","WR13","0.0","1.2","0.0","75.5","1,121.4","8.6","0.5","238.4"
"DeVonta Smith","PHI","WR14","0.0","1.2","0.0","85.5","1,093.0","7.2","0.9","236.0"
"Nico Collins","HOU","WR15","1.6","8.6","0.0","77.9","1,138.1","7.4","0.5","236.0"
"Isiah Pacheco","KC","RB10","238.9","1,066.8","8.5","41.2","274.0","2.0","1.4","235.6"
"Michael Pittman Jr.","IND","WR16","0.3","3.0","0.0","97.1","1,069.5","5.0","1.0","232.4"
"Alvin Kamara","NO","RB11","195.6","773.2","5.1","65.9","466.0","2.2","0.9","231.9"
"Cooper Kupp","LAR","WR17","2.9","17.3","0.1","85.0","1,038.2","7.0","0.5","231.9"
"Travis Kelce","KC","TE1","2.3","7.5","0.0","90.1","971.6","7.5","0.8","231.7"
"Derrick Henry","BAL","RB12","265.8","1,178.5","11.2","24.1","194.3","0.9","1.0","231.6"
"Brandon Aiyuk","SF","WR18","0.8","4.0","0.0","75.6","1,136.0","7.3","0.9","231.4"
"Deebo Samuel Sr.","SF","WR19","33.9","199.6","3.0","66.9","924.0","5.9","1.0","230.5"
"Josh Jacobs","GB","RB13","255.0","1,056.0","8.3","39.2","298.8","1.3","1.1","230.5"
"De'Von Achane","MIA","RB14","175.4","907.3","7.2","45.5","348.1","2.9","0.9","229.8"
"James Cook","BUF","RB15","236.7","1,039.1","5.0","44.6","379.5","2.6","1.4","229.4"
"DK Metcalf","SEA","WR20","0.0","1.2","0.0","73.7","1,069.3","8.1","0.5","228.3"
"Jaylen Waddle","MIA","WR21","3.6","21.1","0.1","80.8","1,108.5","5.7","0.5","227.1"
"DJ Moore","CHI","WR22","2.0","14.5","0.2","77.2","1,053.5","7.0","0.9","225.5"
"Stefon Diggs","HOU","WR23","1.9","9.2","0.1","84.1","1,019.6","6.6","1.0","224.7"
"Joe Mixon","HOU","RB16","248.6","965.1","7.8","39.6","300.7","2.1","0.9","224.1"
"Sam LaPorta","DET","TE2","0.0","0.0","0.0","86.3","893.6","7.9","0.4","222.4"
"Zay Flowers","BAL","WR24","7.4","46.3","0.6","80.4","965.8","6.2","1.0","220.4"
"George Pickens","PIT","WR25","2.6","16.9","0.0","71.3","1,100.1","6.3","0.9","219.1"
"Amari Cooper","CLE","WR26","0.0","1.0","0.0","72.4","1,094.8","6.3","0.9","217.8"
"Malik Nabers","NYG","WR27","0.5","5.0","0.0","79.5","1,048.4","5.6","1.2","216.1"
"Chris Godwin","TB","WR28","2.7","20.9","0.3","83.1","989.4","5.3","0.5","216.1"
"Tee Higgins","CIN","WR29","0.0","1.0","0.0","71.1","1,014.8","7.3","0.5","215.5"
"Tank Dell","HOU","WR30","11.1","61.7","0.2","69.0","941.1","6.9","0.6","210.6"
"Christian Kirk","JAC","WR31","1.0","6.6","0.0","80.1","997.5","5.4","1.3","210.2"
